"","Finland","Sweden","Norway","Denmark","Iceland"
1960,1346634,1678102,928433,1153390,61259
1961,1328310,1649979,924131,1137969,62593
1962,1305304,1627268,918792,1126062,63723
1963,1283079,1611315,916412,1121560,64684
1964,1260931,1608086,917666,1124546,65598
1965,1238793,1617457,921511,1131012,66369
1966,1220277,1633191,927009,1141337,67047
1967,1204427,1648501,932974,1151179,67648
1968,1187380,1656888,938422,1152938,67802
1969,1163957,1664786,944552,1150601,67436
1970,1133856,1676152,949058,1150110,66714
1971,1107131,1684136,951772,1150212,66141
1972,1085779,1686718,955055,1151163,66099
1973,1066924,1687215,956848,1152423,66202
1974,1050872,1690603,956113,1151275,66018
1975,1037047,1695390,953546,1147303,65542
1976,1023795,1695471,948262,1139677,64991
1977,1011156,1689810,940256,1128145,64269
1978,997525,1676567,930598,1112243,63447
1979,982919,1654869,919051,1092365,62972
1980,970637,1629498,905794,1067950,62800
1981,961035,1601709,891819,1037222,62702
1982,954451,1572157,877684,1006211,62845
1983,951231,1546562,862369,980976,63221
1984,950965,1529015,845581,960547,63408
1985,951552,1517527,830817,943614,63284
1986,951592,1508142,818336,927182,63038
1987,952288,1501928,807911,909728,62849
1988,956464,1503849,802456,894520,63025
1989,961115,1514085,801112,883706,63365
1990,963215,1533008,803352,876121,63614
1991,964871,1559509,809857,873502,64040
1992,966900,1588098,819359,877914,64796
1993,969453,1617004,830175,885673,65558
1994,971432,1643163,840148,895570,65754
1995,971951,1657669,849287,910124,65339
1996,970112,1660029,858766,926979,64921
1997,964907,1656935,868302,943144,64707
1998,956201,1651380,877683,958733,64658
1999,947030,1644025,888583,973360,64910
2000,939626,1634817,898598,986459,65486
2001,933922,1624373,904386,997298,66061
2002,929264,1613994,908336,1005230,66198
2003,923528,1602655,910454,1010315,65944
2004,917309,1588522,909947,1012557,65644
2005,910716,1570855,908088,1012494,65443
2006,904026,1554969,906397,1011795,65400
2007,897874,1545585,906681,1010436,65709
2008,892875,1541691,909827,1008817,66265
2009,889750,1545814,914998,1005065,66521
2010,888017,1559429,919741,998764,66523
2011,888353,1579568,922668,991460,66418
2012,890214,1604597,925504,982787,66356
2013,893235,1634334,929035,974112,66616
2014,895839,1666815,931602,966642,66880
2015,896336,1700223,932960,961754,66746
2016,895127,1737202,935558,959677,66651
2017,892334,1773580,938340,958654,67083
2018,886366,1801984,936962,956659,67581
2019,876679,1823725,932555,952954,67983
2020,866000,1837227,925870,948702,68563
2021,854904,1845060,917593,946750,69396
