"","Finland","Sweden","Norway","Denmark","Iceland"
1960,4429635,7484655,3581239,4579603,175574
1961,4461005,7519998,3609801,4611687,179029
1962,4491443,7561588,3638918,4647727,182378
1963,4523309,7604327,3666537,4684483,185653
1964,4548543,7661353,3694339,4722072,188983
1965,4563731,7733853,3723167,4759012,192286
1966,4580869,7807798,3753012,4797381,195570
1967,4605744,7867931,3784539,4835354,198751
1968,4626469,7912273,3816486,4864883,201487
1969,4623785,7968073,3847707,4891860,203369
1970,4606308,8042801,3875764,4928757,204438
1971,4612124,8098334,3903038,4963126,206098
1972,4639657,8122300,3933004,4991596,209137
1973,4666081,8136312,3960612,5021861,212317
1974,4690574,8159955,3985258,5045296,215209
1975,4711441,8192437,4007313,5059861,217979
1976,4725664,8222286,4026152,5072596,220154
1977,4738902,8251540,4043205,5088419,221799
1978,4752528,8275598,4058672,5104247,223536
1979,4764690,8293678,4072517,5116801,225734
1980,4779535,8310531,4085620,5123027,228138
1981,4799964,8320504,4099702,5121572,230755
1982,4826933,8325263,4114787,5117811,233861
1983,4855788,8329033,4128432,5114297,236977
1984,4881802,8336605,4140099,5111619,239510
1985,4902206,8350386,4152516,5113691,241405
1986,4918154,8369829,4167354,5120534,243181
1987,4932124,8397804,4186905,5127024,245859
1988,4946481,8436489,4209489,5129516,249740
1989,4964371,8492964,4226901,5132594,252852
1990,4986431,8558835,4241472,5140939,254825
1991,5013740,8617375,4261733,5154299,257796
1992,5041992,8668068,4286402,5171370,261057
1993,5066447,8718560,4311991,5188628,263724
1994,5088333,8780746,4336613,5206180,266022
1995,5107790,8826938,4359184,5233373,267468
1996,5124573,8840998,4381336,5263074,268916
1997,5139835,8846062,4405157,5284991,271128
1998,5153497,8850974,4431464,5304220,274046
1999,5165474,8857874,4461913,5321799,277381
2000,5176209,8872108,4490967,5339617,281206
2001,5188008,8895960,4513751,5358783,284968
2002,5200598,8924958,4538160,5375931,287523
2003,5213014,8958230,4564854,5390575,289522
2004,5228172,8993532,4591910,5404523,292075
2005,5246096,9029573,4623291,5419431,296734
2006,5266269,9080505,4660677,5437272,303781
2007,5288721,9148092,4709153,5461438,311565
2008,5313399,9219637,4768213,5493621,317415
2009,5338871,9298515,4828726,5523095,318499
2010,5363352,9378126,4889252,5547684,318041
2011,5388272,9449213,4953088,5570572,319014
2012,5413971,9519374,5018572,5591572,320716
2013,5438972,9600379,5079623,5614932,323764
2014,5461512,9696110,5137232,5643475,327386
2015,5479530,9799186,5188606,5683483,330816
2016,5495303,9923085,5234519,5728010,335439
2017,5508214,10057698,5276968,5764980,343400
2018,5515524,10175214,5311916,5793636,352720
2019,5521607,10278887,5347895,5814422,360563
2020,5529543,10353442,5379475,5831405,366462
2021,5541017,10415811,5408321,5856733,372521
